log start
[22:24:22] init;
[22:24:49] {y=24, x=579, vx=-40.8272, vy=13.4094, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:49] {y=24, x=577, vx=-40.4938, vy=13.3255, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:50] {y=24, x=596, vx=-39.978, vy=31.9824, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:50] {y=24, x=596, vx=-39.978, vy=31.9824, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:50] {y=24, x=596, vx=-39.978, vy=31.9824, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:50] {y=24, x=596, vx=-39.978, vy=30.7327, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:50] {y=24, x=596, vx=-39.978, vy=29.5395, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:50] {y=24, x=596, vx=-39.978, vy=28.4012, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:51] {y=24, x=596, vx=-40.6448, vy=12.7434, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:51] {y=24, x=595, vx=-40.8112, vy=12.5488, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:51] {y=24, x=593, vx=-39.8117, vy=12.41, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:51] {y=24, x=593, vx=-39.8117, vy=12.3817, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:51] {y=24, x=593, vx=-39.8117, vy=12.4649, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:51] {y=24, x=593, vx=-39.8117, vy=11.216, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:52] {y=24, x=108, vx=-40.6448, vy=25.5417, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:52] {y=24, x=107, vx=-40.8112, vy=24.4034, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:52] {y=24, x=105, vx=-40.4778, vy=23.3215, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:52] {y=24, x=104, vx=-40.6441, vy=22.2939, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:52] {y=24, x=103, vx=-40.8104, vy=21.3226, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:52] {y=24, x=101, vx=-40.477, vy=20.462, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:53] {y=24, x=117, vx=-40.4793, vy=11.1328, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:53] {y=24, x=116, vx=-40.6456, vy=9.9945, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:53] {y=24, x=115, vx=-40.8119, vy=8.9119, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:53] {y=24, x=113, vx=-40.4785, vy=7.885, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:53] {y=24, x=112, vx=-40.6448, vy=6.9138, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:53] {y=24, x=111, vx=-40.8112, vy=5.9975, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:54] {y=24, x=132, vx=-40.6471, vy=36.9797, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:54] {y=24, x=131, vx=-40.8142, vy=36.9797, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:54] {y=24, x=129, vx=-40.4808, vy=36.9797, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:54] {y=24, x=128, vx=-40.6471, vy=36.9797, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:54] {y=24, x=127, vx=-40.8134, vy=36.9797, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:54] {y=24, x=125, vx=-40.48, vy=36.9797, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:55] {y=24, x=120, vx=-39.978, vy=36.9797, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:55] {y=24, x=120, vx=-39.978, vy=35.73, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:55] {y=24, x=120, vx=-39.978, vy=34.5367, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:55] {y=24, x=120, vx=-39.978, vy=33.3984, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:55] {y=24, x=120, vx=-39.978, vy=32.3166, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:55] {y=24, x=120, vx=-39.978, vy=31.2889, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:56] {y=24, x=109, vx=-39.8102, vy=27.9846, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:56] {y=24, x=109, vx=-39.8102, vy=27.9846, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:56] {y=24, x=109, vx=-39.8102, vy=27.9846, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:56] {y=24, x=109, vx=-39.1441, vy=27.9846, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:56] {y=24, x=111, vx=-39.4775, vy=27.9846, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:56] {y=24, x=112, vx=-39.3112, vy=26.7349, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:57] {y=24, x=160, vx=-39.9834, vy=11.9263, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:57] {y=24, x=160, vx=-39.9834, vy=12.1208, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:57] {y=24, x=160, vx=-39.9834, vy=12.4252, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:57] {y=24, x=160, vx=-39.9834, vy=12.841, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:57] {y=24, x=160, vx=-39.9834, vy=13.3682, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:57] {y=24, x=160, vx=-39.9834, vy=14.006, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:58] {y=24, x=200, vx=-39.9879, vy=22.8142, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:58] {y=24, x=200, vx=-39.9879, vy=22.9874, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:58] {y=24, x=200, vx=-39.9879, vy=22.9874, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:58] {y=24, x=200, vx=-39.9879, vy=22.9874, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:58] {y=24, x=200, vx=-39.9879, vy=22.9874, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:58] {y=24, x=200, vx=-39.9879, vy=22.9874, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:59] {y=24, x=219, vx=-40.1573, vy=25.9857, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:59] {y=24, x=219, vx=-40.1573, vy=25.9857, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:59] {y=24, x=219, vx=-40.1573, vy=25.9857, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:59] {y=24, x=219, vx=-40.1573, vy=25.9857, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:59] {y=24, x=219, vx=-39.4905, vy=25.9857, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:24:59] {y=24, x=220, vx=-39.3242, vy=24.736, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
[22:25:00] {y=24, x=255, vx=-39.4951, vy=23.7381, show_time=0.1, elapsed=0, color=8, w=1, h=1, };
